Id;N по каталогу;Категория;Название товара рус;Название товара eng;Объем;Родительский товар;Бренд;Линия;Цена закупки;Цена;Цена со скидкой;Артикул;Активность;Короткое описание;Поставщик;Страна производства;Изготовитель;Цвет через запятую
;43;Для лица;"Ночной крем ""Экстрамель""";Alodem Extramel Night Cream;50;;Anna lotan;ALODEM;598500;837900;;172;;;;;;
;44;Для лица; Защитный лосьон с SPF31;Alodem Green Tea Protective Lotion SPF31;50;;Anna lotan;ALODEM;503500;704900;;194 ;;;;;;
;45;Для лица;Успокаивающая маска;Alodem Soothing Mask;70;;Anna lotan;ALODEM;212800;297900;;778;;;;;;
;46;Для лица;Успокаивающая маска;Alodem Soothing Mask;250;45;Anna lotan;ALODEM;452200;633100;;4778;;;;;;
;47;Для лица;Миртл-маска;Myrtle Mask;60;;Anna lotan;ALODEM;216600;303200;;99;;;;;;
;48;Для лица;Миртл-маска;Myrtle Mask;250;47;Anna lotan;ALODEM;467400;654400;;4099;;;;;;
;49;Для лица;Жидкое мыло;New Age Control Purifying Liquid Soap;200;;Anna lotan;NЕW AGE  CONTROL;243200;243200?????????;;104;;;;;;
;50;Для лица;"Отшелушивающий лосьон ""Новая эра""";NEW AGE CONTROL Exfoliating Freshener;200;;Anna lotan;NЕW AGE  CONTROL;292600;409600;;223;;;;;;
;51;Для лица;"Активный лосьон для лица ""Новая Эра"" ";Revitalizing AHA Face Lotion;50;;Anna lotan;NЕW AGE  CONTROL;393300;550600;;248;;;;;;
;52;Для лица;"Активный лосьон для лица ""Новая Эра"" ";Revitalizing AHA Face Lotion;200;51;Anna lotan;NЕW AGE  CONTROL;467400;654400;;4248;;;;;;
;53;Для лица;Крем серии New Age Control;New Age Control Active Beautifying Cream;50;;Anna lotan;NЕW AGE  CONTROL;332500;465500;;050;;;;;;
;54;Для лица;"Активная эмульсия с фруктовыми кислотами ""Новая Эра"""; New Age Control Exfoliating Emulsion;50;;Anna lotan;NЕW AGE  CONTROL;332500;465500;;049;;;;;;
;55;Для лица;"Маска отшелушивающая ""Пил Оф Маск""";New Age Control Exfoliating Peel Off Mask;60;;Anna lotan;NЕW AGE  CONTROL;243200;340500;;141;;;;;;
;56;Для лица;"Маска отшелушивающая ""Пил Оф Маск""";New Age Control Exfoliating Peel Off Mask;200;55;Anna lotan;NЕW AGE  CONTROL;482600;675600;;4141;;;;;;
;57;Для лица;Дневной крем с  SPF29;New Age Control Rejuvenating Day Cream with UV Protection SPF29;50;;Anna lotan;NЕW AGE  CONTROL;503500;704900;;219;;;;;;
;58;Для лица;Профессиональный демакияж ;Professional Make-Up Remover >99% Natural;100;;Anna lotan;CLASSIC;237500;332500;;191;;;;;;
;59;Для лица;Очищающий гель для всех типов кожи;CLASSIC Creamy Foaming Gel;200;;Anna lotan;CLASSIC;285000;399000;;325;;;;;;
;60;Для лица;"Гель минеральный ""Сплеш""";Mineral Splash;100;;Anna lotan;CLASSIC;190000;266000;;451;;;;;;
;61;Для лица;Энзимный гоммаж-пилинг с экстрактом жемчуга;;50;;Anna lotan;CLASSIC;292600;409600;;340;;;;;;
;62;Для лица;Энзимный гоммаж-пилинг с экстрактом жемчуга;;150;61;Anna lotan;CLASSIC;554800;776700;;4340;;;;;;
;63;Для лица;Микрокристаллическая дермабразия Пилинг;;50;;Anna lotan;CLASSIC;262200;367100;;326;;;;;;
;64;Для лица;Крем с липозомами;Lipo Soft Cream;50;;Anna lotan;CLASSIC;336300;470800;;053;;;;;;
;65;Для лица;"Маска ""Жемчужная"" для нормальной/сухой кожи";Pearl Mask;60;;Anna lotan;CLASSIC;216600;303200;;094;;;;;;
;66;Для лица;"Сыворотка ""Гранат"" с витамином С";CLASSIC Pomegrante Serum with Ester C;15;;Anna lotan;CLASSIC;475000;665000;;327;;;;;;
;67;Для лица;"Сыворотка ""Гранат"" с витамином С";CLASSIC Pomegrante Serum with Ester C;30;66;Anna lotan;CLASSIC;615600;861800;;4327;;;;;;
;68;Для лица;Защитное масло дневное и ночное с SPF5;Classic Day & Night Protective Butter;60;;Anna lotan;CLASSIC;494000;691600;;328;;;;;;
;69;Для лица;Защитный дневной крем с SPF30 для всех типов кожи;White Pearl Protective Day Cream;50;;Anna lotan;CLASSIC;260900;365300;;185;;;;;;
;70;Для лица;Очищающая пенка с экстрактом зеленого чая;Green Tea Cleansing Foam ;125;;Anna lotan;LIGHTENING CARE  C WHITE;285000;399000;;119;;;;;;
;71;Для лица;"Отшелушивающий скраб для лица ""Фреш С""";Exfoliating Facial Scrub;50;;Anna lotan;LIGHTENING CARE  C WHITE;399000;558600;;095;;;;;;
;72;Для лица;Маска для лица ;C White Lightening Care Fresh Sprouts Facial Mask;70;;Anna lotan;LIGHTENING CARE  C WHITE;300200;420300;;234;;;;;;
;73;Для лица;Концентрированная сыворотка с витамином С;Ester C Concentrate;20;;Anna lotan;LIGHTENING CARE  C WHITE;324900;454900;;794;;;;;;
;74;Для лица;Си Вайт Формула - крем с SPF1;C WHITE FORMULA SPF14;50;;Anna lotan;LIGHTENING CARE  C WHITE;353400;494800;;103;;;;;;
;75;Для лица;Си Вайт солнцезащитный крем SPF30;C White Daytime Protection SPF 30;50;;Anna lotan;LIGHTENING CARE  C WHITE;427500;598500;;082;;;;;;
;76;Для лица;Универсальный очищающий гель для нормальной и сухой кожи;Universal Cleansing Gel;200;;Anna lotan;RENOVA;267900;375100;;041;;;;;;
;77;Для лица;Лосьон для сухой кожи;Facial Toner for Dry Skin;200;;Anna lotan;RENOVA;209000;292600;;021;;;;;;
;78;Для лица;Бальзам для сухой кожи Ренова;RENOVA Dry Skin Balm ;50;;Anna lotan;RENOVA;336300;470800;;057;;;;;;
;79;Для лица;Бальзам для сухой кожи Ренова;RENOVA Dry Skin Balm ;250;78;Anna lotan;RENOVA;634600;888400;;4057;;;;;;
;80;Для лица;"Маска ""Красота"" для сухой кожи";Beauty Mask For Dry Skin;70;;Anna lotan;RENOVA;237500;332500;;087;;;;;;
