N по каталогу;Название товара рус;Название товара eng;;Бренд;Линия;;Для лица;Для тела;Для волос;Маникюр;Педикюр;Депиляция;Аксессуары;Для жирной кожи;для сухой кожи;для возрастной кожи;для чувствительной кожи;для комбинированной кожи;для деликатной;для нормальной;для проблемной кожи; Дневной;ночной;увлажнение;питание;очистка;омоложение;против морщин;отшелушивание;пилинг;скраб;смягчающее;успокаивающее
38;Эмульсия очищающая;Alodem Calendula Cleansing Emulsion;;Anna lotan;ALODEM;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;
39;Тоник для лица;Alodem Facial Mist;;Anna lotan;ALODEM;;1;;;;;;;1;;;;1;;;;;;;;;;;;;;;
40;Гель отшелушивающий с азуленом;;;Anna lotan;ALODEM;;1;;;;;;;;;;;;1;;;;;;;;;;1;;;;
41;Крем-гель с альфа-гидрокислотами;Alodem AHA Cream Gel;;Anna lotan;ALODEM;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
42;Деликатный увлажняющий гель;Alodem Delicate Moisturizer;;Anna lotan;ALODEM;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
43;"Ночной крем ""Экстрамель""";Alodem Extramel Night Cream;;Anna lotan;ALODEM;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;
44; Защитный лосьон с SPF31;Alodem Green Tea Protective Lotion SPF31;;Anna lotan;ALODEM;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;
45;Успокаивающая маска;Alodem Soothing Mask;;Anna lotan;ALODEM;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
46;Успокаивающая маска;Alodem Soothing Mask;;Anna lotan;ALODEM;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
47;Миртл-маска;Myrtle Mask;;Anna lotan;ALODEM;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;
48;Миртл-маска;Myrtle Mask;;Anna lotan;ALODEM;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;
49;Жидкое мыло;New Age Control Purifying Liquid Soap;;Anna lotan;NЕW AGE  CONTROL;;1;1;;;;;;;;;;;;;;;;1;;;;;;;;;
50;"Отшелушивающий лосьон ""Новая эра""";NEW AGE CONTROL Exfoliating Freshener;;Anna lotan;NЕW AGE  CONTROL;;1;1;;;;;;;;;;;;;;;;;;1;;;1;;;;
51;"Активный лосьон для лица ""Новая Эра"" ";Revitalizing AHA Face Lotion;;Anna lotan;NЕW AGE  CONTROL;;1;;;;;;;;;;;;;;;;;;;1;;;1;;;;
52;"Активный лосьон для лица ""Новая Эра"" ";Revitalizing AHA Face Lotion;;Anna lotan;NЕW AGE  CONTROL;;1;;;;;;;;;;;;;;;;;;;1;;;1;;;;
53;Крем серии New Age Control;New Age Control Active Beautifying Cream;;Anna lotan;NЕW AGE  CONTROL;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
54;"Активная эмульсия с фруктовыми кислотами ""Новая Эра"""; New Age Control Exfoliating Emulsion;;Anna lotan;NЕW AGE  CONTROL;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;
55;"Маска отшелушивающая ""Пил Оф Маск""";New Age Control Exfoliating Peel Off Mask;;Anna lotan;NЕW AGE  CONTROL;;1;;;;;;;;;;;;;;;;;;;1;;;1;;;;
56;"Маска отшелушивающая ""Пил Оф Маск""";New Age Control Exfoliating Peel Off Mask;;Anna lotan;NЕW AGE  CONTROL;;1;;;;;;;;;;;;;;;;;;;1;;;1;;;;
57;Дневной крем с  SPF29;New Age Control Rejuvenating Day Cream with UV Protection SPF29;;Anna lotan;NЕW AGE  CONTROL;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
58;Профессиональный демакияж ;Professional Make-Up Remover >99% Natural;;Anna lotan;CLASSIC;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;
59;Очищающий гель для всех типов кожи;CLASSIC Creamy Foaming Gel;;Anna lotan;CLASSIC;;1;;;;;;;;1;;;;;;;;;;;1;;;;;;;
60;"Гель минеральный ""Сплеш""";Mineral Splash;;Anna lotan;CLASSIC;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;
61;Энзимный гоммаж-пилинг с экстрактом жемчуга;;;Anna lotan;CLASSIC;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;
